
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.2
Length[m]                     0                   0.200104
C5H5O                         0.000000e+00        1.645467e-08
C5H4OH                        0.000000e+00        1.760402e-07
C5H4O                         0.000000e+00        1.104524e-04
DMF                           0.000000e+00        1.725377e-25
NC5H12                        0.000000e+00        9.229028e-13
NC5H11                        0.000000e+00        2.382202e-15
NEOC5H12                      0.000000e+00        3.953918e-13
NEOC5H11                      0.000000e+00        6.072036e-17
NC5H10                        0.000000e+00        1.003113e-08
NC5H9-3                       0.000000e+00        1.631801e-13
B1M2                          0.000000e+00        2.014950e-10
B1M3                          0.000000e+00        1.193925e-08
B2M2                          0.000000e+00        1.390907e-09
CYC5H8                        0.000000e+00        2.260029e-10
LC5H8                         0.000000e+00        5.591042e-09
CYC5H7                        0.000000e+00        8.033887e-09
LC5H7                         0.000000e+00        9.853595e-09
DIALLYL                       0.000000e+00        3.230209e-09
RC6H9A                        0.000000e+00        3.555119e-28
CYC6H8                        0.000000e+00        1.630913e-09
CYC6H10                       0.000000e+00        8.642302e-09
RCYC6H9                       0.000000e+00        2.273152e-27
CYC6H12                       0.000000e+00        3.131397e-14
CYC6H11                       0.000000e+00        1.934889e-15
NC6H12                        0.000000e+00        1.083149e-12
NC7H16                        0.000000e+00        5.487979e-17
NC7H15                        0.000000e+00        1.332108e-20
NC7H14                        0.000000e+00        2.140003e-14
NC7H13                        0.000000e+00        0.000000e+00
IC8H18                        0.000000e+00        0.000000e+00
IC8H17                        0.000000e+00        3.478449e-26
IC8H16                        0.000000e+00        1.598397e-19
DIMEPTD                       0.000000e+00        1.338646e-12
C7H8                          0.000000e+00        5.247648e-06
C6H5OH                        0.000000e+00        4.098627e-04
C6H5CHO                       0.000000e+00        1.144637e-06
C6H5CO                        0.000000e+00        9.647450e-16
C7H7                          0.000000e+00        2.844471e-08
CH3C6H4                       0.000000e+00        1.545106e-11
C6H5O                         0.000000e+00        2.572081e-06
CYC6H4                        0.000000e+00        1.124169e-09
OC6H4OH                       0.000000e+00        1.219416e-07
C6H4O2                        0.000000e+00        3.728096e-06
C7H7O2                        0.000000e+00        1.185627e-12
O2C6H4CH3                     0.000000e+00        6.362066e-14
OC6H4CH2                      0.000000e+00        6.942078e-08
C6H5CH2O                      0.000000e+00        2.288339e-14
BZCOOH                        0.000000e+00        3.572006e-13
C6H5O2                        0.000000e+00        5.931190e-11
RBBENZ                        0.000000e+00        6.399052e-13
STILB                         0.000000e+00        1.744166e-09
HOC6H4CH2                     0.000000e+00        2.079373e-08
OC6H4CH3                      0.000000e+00        9.200759e-08
CRESOL                        0.000000e+00        2.403126e-05
OOC6H4OH                      0.000000e+00        3.040381e-12
C6H4OH                        0.000000e+00        1.025944e-09
CYC5H10                       0.000000e+00        3.675331e-12
RCYC5H9                       0.000000e+00        1.582725e-16
RCYC5H9O2                     0.000000e+00        1.486905e-19
C5H2                          0.000000e+00        1.026558e-13
C5H3                          0.000000e+00        2.079714e-11
CYC5H4                        0.000000e+00        4.226736e-11
C6H2                          0.000000e+00        6.453836e-09
C6H3                          0.000000e+00        3.705626e-11
LC6H4                         0.000000e+00        3.906154e-08
LC6H5                         0.000000e+00        2.287223e-15
LC6H6                         0.000000e+00        2.963900e-08
C7H6                          0.000000e+00        1.327806e-07
C7H5                          0.000000e+00        6.034163e-08
C6H5CH2OH                     0.000000e+00        1.143014e-08
C6H5C2H                       0.000000e+00        2.174911e-06
C6H5C2H3                      0.000000e+00        1.158497e-06
C6H5C2H5                      0.000000e+00        2.050717e-07
C6H5C2H2                      0.000000e+00        1.645730e-11
C6H5CHCH3                     0.000000e+00        7.823775e-10
C6H5C2H4                      0.000000e+00        2.765180e-12
C6H4C2H3                      0.000000e+00        6.093009e-12
C6H4C2H                       0.000000e+00        5.777654e-11
C8H2                          0.000000e+00        9.358853e-12
XYLENE                        0.000000e+00        5.261408e-08
RXYLENE                       0.000000e+00        2.418484e-10
INDENE                        0.000000e+00        7.280141e-07
INDENYL                       0.000000e+00        2.492362e-08
C10H7                         0.000000e+00        1.124223e-10
C10H7OH                       0.000000e+00        8.776235e-07
C10H7O                        0.000000e+00        1.027992e-08
C10H6CH3                      0.000000e+00        5.000926e-13
C10H7CH2                      0.000000e+00        8.088962e-10
C10H7CHO                      0.000000e+00        4.019073e-08
C10H7CH3                      0.000000e+00        2.865787e-07
CH3C10H6OH                    0.000000e+00        7.733837e-09
CH3C10H6O                     0.000000e+00        1.597662e-10
C12H8                         0.000000e+00        1.732386e-07
C12H7                         0.000000e+00        9.534199e-12
BIPHENYL                      0.000000e+00        5.861431e-06
C12H9                         0.000000e+00        1.730335e-12
FLUORENE                      0.000000e+00        4.658661e-09
C6H5CH2C6H5                   0.000000e+00        1.222999e-10
C14H10                        0.000000e+00        9.389145e-09
C14H9                         0.000000e+00        4.053138e-12
C16H10                        0.000000e+00        7.855613e-09
C16H9                         0.000000e+00        3.622350e-12
C6H5C2H4C6H5                  0.000000e+00        1.898271e-11
C18H10                        0.000000e+00        1.109823e-11
C18H9                         0.000000e+00        3.237037e-12
BIN1B                         0.000000e+00        3.014280e-08
BIN1A                         0.000000e+00        1.774934e-10
C18H14                        0.000000e+00        1.343159e-13
FC10H10                       0.000000e+00        1.381745e-06
FC10H10O                      0.000000e+00        2.326755e-08
C9H9                          0.000000e+00        5.929660e-11
C10H7CH2OOH                   0.000000e+00        9.200064e-15
C10H7CH2O                     0.000000e+00        7.655423e-16
C10H7CH2O2                    0.000000e+00        3.040202e-14
C10H6OH                       0.000000e+00        3.438468e-09
C10H7C2H5                     0.000000e+00        2.611592e-09
C10H7C2H4                     0.000000e+00        1.251420e-14
C10H7CHCH3                    0.000000e+00        9.950432e-10
C10H6O2                       0.000000e+00        1.193828e-08
OC10H6CH2                     0.000000e+00        2.429353e-09
HOC10H6CH2                    0.000000e+00        3.518643e-11
O2C10H6CH3                    0.000000e+00        1.926172e-15
C10H7O2                       0.000000e+00        4.929242e-13
C9H7O                         0.000000e+00        2.656750e-10
C9H7OH                        0.000000e+00        4.425295e-08
C9H6O                         0.000000e+00        6.986805e-07
C9H6OH                        0.000000e+00        3.087027e-09
CATECHOL                      0.000000e+00        2.757378e-05
GUAIACOL                      0.000000e+00        1.274404e-08
SALICALD                      0.000000e+00        1.045448e-07
VANILLIN                      0.000000e+00        1.155721e-15
C8H6O3                        0.000000e+00        0.000000e+00
C6H5OCH3                      0.000000e+00        1.999412e-07
C7H6O3                        0.000000e+00        5.596512e-17
RC7H5O3                       0.000000e+00        1.769824e-15
C24H28O4                      0.000000e+00        0.000000e+00
RSALICPH                      0.000000e+00        0.000000e+00
RGUAIPH                       0.000000e+00        0.000000e+00
C6H4OCH3                      0.000000e+00        0.000000e+00
RCATEPH                       0.000000e+00        1.362245e-13
CYC5H4CO                      0.000000e+00        5.711289e-08
RMCYC6                        0.000000e+00        0.000000e+00
MCYC6                         0.000000e+00        0.000000e+00
TMBENZ                        0.000000e+00        1.207488e-10
NPBENZ                        0.000000e+00        7.725396e-11
RC9H11                        0.000000e+00        1.656909e-12
DIBZFUR                       0.000000e+00        3.835837e-07
BZFUR                         0.000000e+00        2.374837e-06
ODECAL                        0.000000e+00        0.000000e+00
DECALIN                       0.000000e+00        0.000000e+00
TETRALIN                      0.000000e+00        2.207399e-10
DCYC5                         0.000000e+00        0.000000e+00
RTETRALIN                     0.000000e+00        4.543350e-13
RTETRAOO                      0.000000e+00        6.676793e-15
RDECALIN                      0.000000e+00        0.000000e+00
RODECA                        0.000000e+00        0.000000e+00
NC10H22                       0.000000e+00        0.000000e+00
NC10H21                       0.000000e+00        1.552054e-30
C10H10                        0.000000e+00        2.849632e-07
NC12H25                       0.000000e+00        1.442651e-30
IC16H33                       0.000000e+00        0.000000e+00
NC16H33                       0.000000e+00        4.680048e-30
NC10H19                       0.000000e+00        9.297230e-31
NC12H26                       0.000000e+00        0.000000e+00
IC16H34                       0.000000e+00        0.000000e+00
NC16H34                       0.000000e+00        1.954632e-24
NC10H20                       0.000000e+00        5.279939e-25
IC12H26                       0.000000e+00        0.000000e+00
IC12H25                       0.000000e+00        0.000000e+00
C10H16                        0.000000e+00        0.000000e+00
C10H15                        0.000000e+00        5.980648e-27
C6H5C4H9                      0.000000e+00        3.683496e-14
RC6H5C4H8                     0.000000e+00        9.147632e-17
C6H5C4H7-3                    0.000000e+00        0.000000e+00
NC3H7OH                       0.000000e+00        2.166821e-11
CH3CHCH2OH                    0.000000e+00        5.663867e-13
CH3CH2CHOH                    0.000000e+00        1.569721e-14
CH2CH2CH2OH                   0.000000e+00        2.426882e-14
CH3CH2CH2O                    0.000000e+00        7.805939e-18
IC3H7OH                       0.000000e+00        6.886619e-11
CH2CHOHCH3                    0.000000e+00        1.226163e-13
CH3COHCH3                     0.000000e+00        8.664525e-15
C3H7CHO                       0.000000e+00        2.129835e-09
RALD4X                        0.000000e+00        1.800874e-16
C3H5CHO                       0.000000e+00        2.899930e-14
IC3H5CHO                      0.000000e+00        2.826775e-07
NC4H7OH                       0.000000e+00        1.615104e-09
IC4H7OH                       0.000000e+00        1.093091e-09
IC3H7CHO                      0.000000e+00        8.776021e-10
RIBALDB                       0.000000e+00        2.861303e-15
RIBALDG                       0.000000e+00        4.419787e-15
N1C4H9OH                      0.000000e+00        3.736760e-13
CH3CH2CHCH2OH                 0.000000e+00        5.964766e-14
CH2CH2CH2CH2OH                0.000000e+00        1.299396e-16
CH3CH2CH2CH2O                 0.000000e+00        3.190369e-18
CH3CH2CH2CHOH                 0.000000e+00        1.590108e-16
CH3CHCH2CH2OH                 0.000000e+00        2.518435e-16
N2C4H9OH                      0.000000e+00        2.147423e-13
CH2CH2CHOHCH3                 0.000000e+00        3.735361e-15
CH3CH2CHOHCH2                 0.000000e+00        6.685249e-15
CH3CHCHOHCH3                  0.000000e+00        9.942140e-15
CH3CH2COHCH3                  0.000000e+00        7.916016e-18
TC4H9OH                       0.000000e+00        2.735316e-14
RTC4H8OH                      0.000000e+00        2.745490e-16
IC4H9OH                       0.000000e+00        4.947640e-13
CH3CHCH3CHOH                  0.000000e+00        4.895405e-17
CH3CCH2OHCH3                  0.000000e+00        4.537247e-15
CH2CHCH2OHCH3                 0.000000e+00        8.999792e-17
MEK                           0.000000e+00        1.601993e-09
C5H9OH                        0.000000e+00        1.304644e-12
C4H9CHO                       0.000000e+00        1.127350e-12
IC5H9OH                       0.000000e+00        6.501581e-15
IC4H9CHO                      0.000000e+00        3.486202e-13
RALD5X                        0.000000e+00        1.249480e-19
ALDC6                         0.000000e+00        1.464023e-15
RALD6X                        0.000000e+00        1.587814e-22
C5H11OH                       0.000000e+00        3.089067e-15
RPENT1OHA                     0.000000e+00        1.223185e-17
RPENT1OHB                     0.000000e+00        1.015431e-16
IC5H11OH                      0.000000e+00        2.682570e-16
RIPENTOHA                     0.000000e+00        1.600550e-21
RIPENTOHB                     0.000000e+00        5.590362e-22
C6H13OH                       0.000000e+00        1.808473e-16
RHEX1OHA                      0.000000e+00        1.088617e-20
RHEX1OHB                      0.000000e+00        9.064107e-20
--------------------------------------------------------------

-----------------------------------------------------------------------------
Mole fractions                Initial             Final
-----------------------------------------------------------------------------
AR                            0.000000e+00        0.000000e+00
N2                            9.867400e-01        9.854298e-01
HE                            0.000000e+00        0.000000e+00
H2                            0.000000e+00        2.284166e-04
H                             0.000000e+00        1.421898e-07
O2                            1.170000e-02        9.962984e-03
O                             0.000000e+00        3.630740e-08
H2O                           0.000000e+00        7.004600e-04
OH                            0.000000e+00        8.269283e-08
H2O2                          0.000000e+00        8.258164e-07
HO2                           0.000000e+00        6.307401e-06
CO                            0.000000e+00        2.116007e-03
CO2                           0.000000e+00        1.474851e-04
HOCO                          0.000000e+00        1.328808e-12
CH4                           0.000000e+00        4.530350e-05
CH3                           0.000000e+00        1.142988e-06
CH2                           0.000000e+00        7.980645e-11
CH2(S)                        0.000000e+00        6.693625e-13
C                             0.000000e+00        5.984694e-20
CH                            0.000000e+00        1.789543e-15
CH3O2H                        0.000000e+00        1.204356e-13
CH3O2                         0.000000e+00        2.451506e-09
CH3OH                         0.000000e+00        7.106612e-07
CH3O                          0.000000e+00        3.909669e-10
CH2OH                         0.000000e+00        4.416995e-11
CH2O                          0.000000e+00        6.783216e-05
HCO                           0.000000e+00        4.363698e-09
HO2CHO                        0.000000e+00        1.117329e-22
HOCHO                         0.000000e+00        5.294196e-07
OCHO                          0.000000e+00        7.543552e-18
C2H6                          0.000000e+00        7.262161e-06
C2H5                          0.000000e+00        1.472045e-09
C2H5O2H                       0.000000e+00        1.197988e-13
C2H5O2                        0.000000e+00        1.032493e-11
C2H4                          0.000000e+00        4.614351e-05
C2H3                          0.000000e+00        4.633002e-09
C2H2                          0.000000e+00        5.975784e-05
C2H                           0.000000e+00        3.250636e-13
C2H5OH                        0.000000e+00        2.801655e-09
C2H5O                         0.000000e+00        1.494794e-15
PC2H4OH                       0.000000e+00        3.554572e-12
SC2H4OH                       0.000000e+00        3.072525e-12
C2H4O2H                       0.000000e+00        4.838179e-17
C2H4O1-2                      0.000000e+00        2.604548e-08
C2H3O1-2                      0.000000e+00        5.282500e-18
CH3CHO                        0.000000e+00        6.231475e-06
CH3CO                         0.000000e+00        7.948128e-12
CH2CHO                        0.000000e+00        4.634009e-09
CH2CO                         0.000000e+00        2.485034e-05
HCCO                          0.000000e+00        2.450600e-09
CH3CO3                        0.000000e+00        7.935021e-13
CH3CO3H                       0.000000e+00        0.000000e+00
CH2OHCHO                      0.000000e+00        5.897848e-12
CHOCHO                        0.000000e+00        1.059328e-07
O2C2H4O2H                     0.000000e+00        2.291075e-18
HO2CH2CHO                     0.000000e+00        6.850690e-19
CH3OCHO                       0.000000e+00        2.185021e-11
CH3OCO                        0.000000e+00        2.042518e-17
C3H8                          0.000000e+00        2.134720e-08
IC3H7                         0.000000e+00        7.914512e-11
NC3H7                         0.000000e+00        2.666870e-12
C3H6                          0.000000e+00        5.722685e-06
C3H5-A                        0.000000e+00        1.367984e-07
C3H5-S                        0.000000e+00        5.777694e-11
C3H5-T                        0.000000e+00        3.046123e-11
C3H5O                         0.000000e+00        3.279598e-13
C3H6O                         0.000000e+00        8.410007e-10
CH3CHCHO                      0.000000e+00        3.222704e-12
AC4H7OOH                      0.000000e+00        3.173890e-16
CH3CHCO                       0.000000e+00        5.878381e-07
AC3H5OOH                      0.000000e+00        8.162304e-13
C3H6OH1-2                     0.000000e+00        4.878040e-13
C3H6OH2-1                     0.000000e+00        9.705496e-13
HOC3H6O2                      0.000000e+00        2.080593e-16
SC3H5OH                       0.000000e+00        7.894709e-09
C3H5OH                        0.000000e+00        6.924667e-08
CH2CCH2OH                     0.000000e+00        3.520292e-14
C3H4-P                        0.000000e+00        4.897404e-06
C3H4-A                        0.000000e+00        3.533738e-06
C3H3                          0.000000e+00        1.109061e-07
C3H2                          0.000000e+00        4.025257e-12
C2H5CHO                       0.000000e+00        7.506491e-08
CH2CH2CHO                     0.000000e+00        1.438743e-14
RALD3                         0.000000e+00        9.474590e-13
C2H3CHO                       0.000000e+00        2.849607e-05
CH3COCH3                      0.000000e+00        1.008243e-07
CH3COCH2                      0.000000e+00        1.719650e-12
NC4H10                        0.000000e+00        1.138940e-10
PC4H9                         0.000000e+00        4.034224e-14
SC4H9                         0.000000e+00        9.296350e-13
IC4H10                        0.000000e+00        7.063424e-10
IC4H9                         0.000000e+00        4.500398e-14
TC4H9                         0.000000e+00        1.089817e-13
IC4H8                         0.000000e+00        1.205858e-08
IC4H7                         0.000000e+00        1.560309e-09
IC4H7O                        0.000000e+00        1.142184e-14
C4H8-1                        0.000000e+00        1.491511e-06
C4H8-2                        0.000000e+00        1.162724e-07
C4H71-3                       0.000000e+00        5.475745e-09
C4H71-4                       0.000000e+00        1.086805e-11
C4H71-O                       0.000000e+00        1.155593e-17
C4H6                          0.000000e+00        9.392415e-06
C4H5                          0.000000e+00        3.736691e-09
C4H4                          0.000000e+00        6.339817e-06
C4H3                          0.000000e+00        1.797910e-10
C4H2                          0.000000e+00        3.147068e-06
C6H6                          1.560000e-03        8.774786e-04
FULVENE                       0.000000e+00        4.174908e-07
C6H5                          0.000000e+00        4.910053e-09
C5H6                          0.000000e+00        1.802200e-05
C5H5                          0.000000e+00        1.626382e-06
C5H5CH3                       0.000000e+00        1.472957e-06
C10H8                         0.000000e+00        1.078857e-06
C5H5OH                        0.000000e+00        9.819178e-07
C5H5O                         0.000000e+00        5.702019e-09
C5H4OH                        0.000000e+00        6.100300e-08
C5H4O                         0.000000e+00        3.875669e-05
DMF                           0.000000e+00        5.043798e-26
NC5H12                        0.000000e+00        3.594526e-13
NC5H11                        0.000000e+00        9.409672e-16
NEOC5H12                      0.000000e+00        1.539974e-13
NEOC5H11                      0.000000e+00        2.398447e-17
NC5H10                        0.000000e+00        4.019232e-09
NC5H9-3                       0.000000e+00        6.633574e-14
B1M2                          0.000000e+00        8.073420e-11
B1M3                          0.000000e+00        4.783771e-09
B2M2                          0.000000e+00        5.573031e-10
CYC5H8                        0.000000e+00        9.323390e-11
LC5H8                         0.000000e+00        2.306495e-09
CYC5H7                        0.000000e+00        3.364032e-09
LC5H7                         0.000000e+00        4.125998e-09
DIALLYL                       0.000000e+00        1.105025e-09
RC6H9A                        0.000000e+00        1.231283e-28
CYC6H8                        0.000000e+00        5.719574e-10
CYC6H10                       0.000000e+00        2.956453e-09
RCYC6H9                       0.000000e+00        7.872854e-28
CYC6H12                       0.000000e+00        1.045563e-14
CYC6H11                       0.000000e+00        6.538845e-16
NC6H12                        0.000000e+00        3.616599e-13
NC7H16                        0.000000e+00        1.539044e-17
NC7H15                        0.000000e+00        3.773715e-21
NC7H14                        0.000000e+00        6.124627e-15
NC7H13                        0.000000e+00        0.000000e+00
IC8H18                        0.000000e+00        0.000000e+00
IC8H17                        0.000000e+00        8.633268e-27
IC8H16                        0.000000e+00        4.002745e-20
DIMEPTD                       0.000000e+00        3.911476e-13
C7H8                          0.000000e+00        1.600441e-06
C6H5OH                        0.000000e+00        1.223818e-04
C6H5CHO                       0.000000e+00        3.030975e-07
C6H5CO                        0.000000e+00        2.579121e-16
C7H7                          0.000000e+00        8.771096e-09
CH3C6H4                       0.000000e+00        4.764427e-12
C6H5O                         0.000000e+00        7.763180e-07
CYC6H4                        0.000000e+00        4.151323e-10
OC6H4OH                       0.000000e+00        3.140794e-08
C6H4O2                        0.000000e+00        9.691823e-07
C7H7O2                        0.000000e+00        2.705881e-13
O2C6H4CH3                     0.000000e+00        1.451974e-14
OC6H4CH2                      0.000000e+00        1.838247e-08
C6H5CH2O                      0.000000e+00        6.002458e-15
BZCOOH                        0.000000e+00        8.085967e-14
C6H5O2                        0.000000e+00        1.527669e-11
RBBENZ                        0.000000e+00        9.920796e-14
STILB                         0.000000e+00        2.719197e-10
HOC6H4CH2                     0.000000e+00        5.454327e-09
OC6H4CH3                      0.000000e+00        2.413418e-08
CRESOL                        0.000000e+00        6.244796e-06
OOC6H4OH                      0.000000e+00        6.829491e-13
C6H4OH                        0.000000e+00        3.096554e-10
CYC5H10                       0.000000e+00        1.472616e-12
RCYC5H9                       0.000000e+00        6.434071e-17
RCYC5H9O2                     0.000000e+00        4.131928e-20
C5H2                          0.000000e+00        4.647537e-14
C5H3                          0.000000e+00        9.265029e-12
CYC5H4                        0.000000e+00        1.853375e-11
C6H2                          0.000000e+00        2.448123e-09
C6H3                          0.000000e+00        1.386780e-11
LC6H4                         0.000000e+00        1.442461e-08
LC6H5                         0.000000e+00        8.335821e-16
LC6H6                         0.000000e+00        1.066259e-08
C7H6                          0.000000e+00        4.140163e-08
C7H5                          0.000000e+00        1.902762e-08
C6H5CH2OH                     0.000000e+00        2.970250e-09
C6H5C2H                       0.000000e+00        5.983986e-07
C6H5C2H3                      0.000000e+00        3.125758e-07
