
-----------------------------------------------------------------------------
Status                        Initial             Final
-----------------------------------------------------------------------------
Time[s]                       0                   0.2
Length[m]                     0                   0.200104
C6H5C2H4C6H5                  0.000000e+00        2.926716e-12
C18H10                        0.000000e+00        1.378286e-12
C18H9                         0.000000e+00        4.038056e-13
BIN1B                         0.000000e+00        3.384159e-09
BIN1A                         0.000000e+00        1.945720e-11
C18H14                        0.000000e+00        1.638863e-14
FC10H10                       0.000000e+00        2.982485e-07
FC10H10O                      0.000000e+00        4.472641e-09
C9H9                          0.000000e+00        1.422125e-11
C10H7CH2OOH                   0.000000e+00        1.484134e-15
C10H7CH2O                     0.000000e+00        1.368569e-16
C10H7CH2O2                    0.000000e+00        4.932933e-15
C10H6OH                       0.000000e+00        6.749261e-10
C10H7C2H5                     0.000000e+00        4.697583e-10
C10H7C2H4                     0.000000e+00        2.265602e-15
C10H7CHCH3                    0.000000e+00        1.801450e-10
C10H6O2                       0.000000e+00        2.121213e-09
OC10H6CH2                     0.000000e+00        4.371014e-10
HOC10H6CH2                    0.000000e+00        6.290321e-12
O2C10H6CH3                    0.000000e+00        3.125344e-16
C10H7O2                       0.000000e+00        8.702886e-14
C9H7O                         0.000000e+00        5.692423e-11
C9H7OH                        0.000000e+00        9.409437e-09
C9H6O                         0.000000e+00        1.508606e-07
C9H6OH                        0.000000e+00        6.614345e-10
CATECHOL                      0.000000e+00        7.037035e-06
GUAIACOL                      0.000000e+00        2.884874e-09
SALICALD                      0.000000e+00        2.405654e-08
VANILLIN                      0.000000e+00        2.134578e-16
C8H6O3                        0.000000e+00        0.000000e+00
C6H5OCH3                      0.000000e+00        5.195699e-08
C7H6O3                        0.000000e+00        1.138630e-17
RC7H5O3                       0.000000e+00        3.627241e-16
C24H28O4                      0.000000e+00        0.000000e+00
RSALICPH                      0.000000e+00        0.000000e+00
RGUAIPH                       0.000000e+00        0.000000e+00
C6H4OCH3                      0.000000e+00        0.000000e+00
RCATEPH                       0.000000e+00        3.508671e-14
CYC5H4CO                      0.000000e+00        1.742676e-08
RMCYC6                        0.000000e+00        0.000000e+00
MCYC6                         0.000000e+00        0.000000e+00
TMBENZ                        0.000000e+00        2.823088e-11
NPBENZ                        0.000000e+00        1.806186e-11
RC9H11                        0.000000e+00        3.906590e-13
DIBZFUR                       0.000000e+00        6.408775e-08
BZFUR                         0.000000e+00        5.649152e-07
ODECAL                        0.000000e+00        0.000000e+00
DECALIN                       0.000000e+00        0.000000e+00
TETRALIN                      0.000000e+00        4.691996e-11
DCYC5                         0.000000e+00        0.000000e+00
RTETRALIN                     0.000000e+00        9.731438e-14
RTETRAOO                      0.000000e+00        1.149705e-15
RDECALIN                      0.000000e+00        0.000000e+00
RODECA                        0.000000e+00        0.000000e+00
NC10H22                       0.000000e+00        0.000000e+00
NC10H21                       0.000000e+00        3.087168e-31
C10H10                        0.000000e+00        6.150907e-08
NC12H25                       0.000000e+00        2.394144e-31
IC16H33                       0.000000e+00        0.000000e+00
NC16H33                       0.000000e+00        5.833744e-31
NC10H19                       0.000000e+00        1.876070e-31
NC12H26                       0.000000e+00        0.000000e+00
IC16H34                       0.000000e+00        0.000000e+00
NC16H34                       0.000000e+00        2.425630e-25
NC10H20                       0.000000e+00        1.057772e-25
IC12H26                       0.000000e+00        0.000000e+00
IC12H25                       0.000000e+00        0.000000e+00
C10H16                        0.000000e+00        0.000000e+00
C10H15                        0.000000e+00        1.242806e-27
C6H5C4H9                      0.000000e+00        7.711957e-15
RC6H5C4H8                     0.000000e+00        1.929687e-17
C6H5C4H7-3                    0.000000e+00        0.000000e+00
NC3H7OH                       0.000000e+00        1.013224e-11
CH3CHCH2OH                    0.000000e+00        2.693654e-13
CH3CH2CHOH                    0.000000e+00        7.465369e-15
CH2CH2CH2OH                   0.000000e+00        1.154190e-14
CH3CH2CH2O                    0.000000e+00        3.712393e-18
IC3H7OH                       0.000000e+00        3.220242e-11
CH2CHOHCH3                    0.000000e+00        5.831454e-14
CH3COHCH3                     0.000000e+00        4.120724e-15
C3H7CHO                       0.000000e+00        8.300353e-10
RALD4X                        0.000000e+00        7.117836e-17
C3H5CHO                       0.000000e+00        1.162661e-14
IC3H5CHO                      0.000000e+00        1.133331e-07
NC4H7OH                       0.000000e+00        6.294355e-10
IC4H7OH                       0.000000e+00        4.259972e-10
IC3H7CHO                      0.000000e+00        3.420175e-10
RIBALDB                       0.000000e+00        1.130911e-15
RIBALDG                       0.000000e+00        1.746891e-15
N1C4H9OH                      0.000000e+00        1.416675e-13
CH3CH2CHCH2OH                 0.000000e+00        2.292530e-14
CH2CH2CH2CH2OH                0.000000e+00        4.994168e-17
CH3CH2CH2CH2O                 0.000000e+00        1.226203e-18
CH3CH2CH2CHOH                 0.000000e+00        6.111504e-17
CH3CHCH2CH2OH                 0.000000e+00        9.679485e-17
N2C4H9OH                      0.000000e+00        8.141281e-14
CH2CH2CHOHCH3                 0.000000e+00        1.435668e-15
CH3CH2CHOHCH2                 0.000000e+00        2.569444e-15
CH3CHCHOHCH3                  0.000000e+00        3.821215e-15
CH3CH2COHCH3                  0.000000e+00        3.042483e-18
TC4H9OH                       0.000000e+00        1.037009e-14
RTC4H8OH                      0.000000e+00        1.055216e-16
IC4H9OH                       0.000000e+00        1.875742e-13
CH3CHCH3CHOH                  0.000000e+00        1.881526e-17
CH3CCH2OHCH3                  0.000000e+00        1.743869e-15
CH2CHCH2OHCH3                 0.000000e+00        3.459028e-17
MEK                           0.000000e+00        6.243256e-10
C5H9OH                        0.000000e+00        4.256429e-13
C4H9CHO                       0.000000e+00        3.678005e-13
IC5H9OH                       0.000000e+00        2.121155e-15
IC4H9CHO                      0.000000e+00        1.137381e-13
RALD5X                        0.000000e+00        4.124725e-20
ALDC6                         0.000000e+00        4.107498e-16
RALD6X                        0.000000e+00        4.500097e-23
C5H11OH                       0.000000e+00        9.847660e-16
RPENT1OHA                     0.000000e+00        3.944507e-18
RPENT1OHB                     0.000000e+00        3.274545e-17
IC5H11OH                      0.000000e+00        8.551786e-17
RIPENTOHA                     0.000000e+00        5.161428e-22
RIPENTOHB                     0.000000e+00        1.802770e-22
C6H13OH                       0.000000e+00        4.973783e-17
RHEX1OHA                      0.000000e+00        3.023818e-21
RHEX1OHB                      0.000000e+00        2.517710e-20
-----------------------------------------------------------------------------
